Position,Team,per,ws,bpm,Year,CareerLen,Rank,Value,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,College,Target
SF,NYK,17.2,3.6,0.3,2016,4,23,3000.0,0,0,1,0,1,0,0,2,2,1,1,0,0,0,4,0,1,1,0,2,0,0,1,0,1,1,2,0,1,0,Arizona,CLE
SG,LAL,17.7,4.7,1.3,2016,10,28,2700.0,0,0,2,0,2,2,2,0,2,0,2,0,1,3,0,1,2,4,0,0,1,0,0,2,2,1,0,1,1,0,0,HOU
PF,PHI,16.4,0.3,-0.2,2016,0,29,700.0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,1,1,0,1,0,0,UNLV,CHO
PF,BRK,17.5,4.1,0.0,2016,8,27,1700.0,2,2,2,0,1,0,3,0,2,5,3,2,0,1,2,1,2,5,1,6,0,0,1,1,3,3,5,2,2,7,Georgia Tech,IND
PF,NYK,11.9,1.7,-3.1,2015,2,28,2500.0,0,1,2,0,3,2,2,4,3,0,4,1,0,2,8,2,1,3,1,0,0,1,2,3,1,3,0,0,2,0,Baylor,SAC
C,NYK,18.1,2.2,0.3,2015,4,28,2500.0,0,1,1,2,1,0,2,2,7,2,3,1,0,0,1,1,2,3,0,1,1,1,0,1,3,1,1,1,2,4,Kansas,LAC
PF,POR,22.8,8.6,2.9,2015,8,7,940.0,0,0,0,1,2,1,2,2,2,0,0,1,4,0,1,1,1,4,0,2,1,0,1,0,2,0,1,1,2,1,Texas,SAS
SF,DAL,14.4,3.3,0.7,2015,4,9,1150.0,2,2,1,0,4,2,2,0,4,1,3,0,1,6,1,2,2,3,0,2,2,0,3,1,1,2,1,1,5,3,Wake Forest,POR
PF,CLE,3.8,0.0,-8.2,2015,8,6,915.0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,3,0,1,0,0,0,0,2,1,0,0,UNLV,NYK
SG,BRK,10.6,2.7,-1.5,2015,5,17,1500.0,1,1,4,2,0,0,1,1,3,1,4,1,0,0,2,0,0,2,0,0,2,1,1,0,1,1,1,0,0,2,Michigan State,WAS
SG,POR,8.3,0.0,-3.3,2015,2,7,940.0,0,1,1,0,3,1,1,1,3,0,1,3,1,0,1,2,2,2,0,0,6,2,1,2,1,3,0,2,2,3,Memphis,DEN
SF,POR,13.1,5.2,2.1,2015,6,7,940.0,0,1,0,1,0,0,2,0,3,0,1,2,4,0,1,1,0,1,1,1,3,0,1,1,1,0,1,4,3,0,0,CHO
C,SAS,15.9,3.9,-1.8,2015,2,5,1000.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,1,3,0,0,0,0,Washington State,DET
SG,SAS,12.4,2.9,-1.0,2015,7,5,1000.0,1,0,1,4,0,1,1,4,3,2,1,0,0,3,3,0,0,1,0,0,1,0,0,0,2,0,1,1,0,3,0,SAC
PF,MIN,11.4,0.3,-3.9,2015,1,29,625.0,0,1,1,0,1,2,0,1,0,0,0,1,2,2,1,0,2,3,1,2,0,1,2,0,2,2,0,2,0,1,UNLV,TOR
C,CHO,15.2,4.0,-1.1,2015,3,21,725.0,0,0,1,3,1,0,0,1,1,1,4,1,4,2,0,1,0,1,0,1,0,2,4,3,0,1,1,0,1,1,0,TOR
C,HOU,11.6,0.9,-3.9,2015,0,2,1250.0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,"Memphis, Kansas",LAL
PG,POR,9.5,2.1,-1.8,2015,11,7,940.0,1,1,4,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,6,0,0,0,0,Maryland,DET
SF,MIN,13.8,0.4,-0.8,2015,7,29,625.0,1,2,2,1,0,0,0,3,1,1,0,2,0,0,0,1,0,1,0,0,4,1,0,2,3,2,0,0,0,0,Florida,HOU
PG,MIN,11.0,0.3,-2.5,2015,1,29,625.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NC State,PHO
SF,MIN,12.2,1.3,-1.8,2015,5,29,625.0,1,0,1,0,0,2,0,2,1,0,3,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,Arizona,PHO
SF,LAC,8.8,0.4,-1.2,2015,1,3,1600.0,2,4,1,1,4,0,1,1,0,1,1,1,1,2,4,1,3,1,1,0,1,3,3,1,2,6,4,0,2,3,UNC,DET
SF,PHO,-3.1,-0.3,-10.2,2015,1,16,910.0,2,4,1,1,4,0,1,1,0,1,1,1,1,2,4,1,0,1,1,0,1,3,3,1,2,6,4,0,2,3,UNC,DET
SF,DET,9.3,2.4,-1.7,2015,12,22,810.0,2,2,3,4,2,1,5,7,7,6,2,2,1,4,9,5,4,5,0,2,3,2,1,2,6,0,4,2,1,3,UConn,SAC
SF,WAS,11.4,2.6,-0.8,2015,11,11,900.0,1,1,2,1,1,1,3,3,5,3,4,0,0,1,1,0,1,5,0,6,2,2,0,1,2,2,0,2,1,2,La Salle,SAS
PG,HOU,11.8,0.6,-0.4,2015,1,2,1250.0,1,4,1,4,3,2,0,2,3,2,0,3,0,3,5,2,2,3,2,1,3,1,3,1,1,2,3,4,1,0,Murray State,PHI
SF,ATL,15.9,7.0,1.7,2015,5,1,825.0,0,3,0,0,2,1,1,0,3,1,5,0,1,0,2,1,1,0,6,1,1,1,0,0,1,1,2,4,1,2,"Vanderbilt, Missouri",TOR
PG,MIA,11.7,2.8,-2.5,2015,6,20,1175.0,1,1,4,0,1,1,2,1,4,0,2,1,0,4,2,2,1,3,0,2,1,1,0,2,4,0,1,0,1,1,Kansas,MEM
C,DAL,20.1,10.3,2.6,2015,13,9,1150.0,1,1,1,0,0,0,2,0,2,1,1,0,0,0,1,1,0,2,0,0,0,1,0,0,3,1,0,1,0,0,0,PHO
SG,UTA,8.3,0.1,-2.6,2015,1,19,850.0,0,0,10,0,0,0,0,0,2,1,0,2,0,2,1,0,1,1,0,1,3,0,0,2,0,0,0,1,2,1,Belmont,GSW
SG,DEN,11.6,0.1,-5.0,2015,1,23,855.0,0,0,10,0,0,0,0,0,2,1,0,2,0,2,1,0,1,1,0,1,0,0,0,2,0,0,0,1,2,1,Belmont,GSW
SF,DAL,12.7,0.5,-0.1,2015,2,9,1150.0,3,2,3,1,7,1,3,0,5,3,2,0,1,3,3,2,4,4,3,0,3,1,3,4,6,1,1,1,2,2,Marquette,BOS
SG,LAC,7.3,0.0,-8.1,2015,2,3,1600.0,0,1,1,0,2,0,2,3,0,0,0,1,0,2,3,1,2,1,0,1,0,0,1,2,3,1,0,0,0,1,Oregon State,MIL
PG,PHO,-11.4,0.0,-23.1,2015,1,16,910.0,2,4,5,0,1,2,2,0,5,3,0,2,1,2,3,2,0,4,0,0,0,2,1,2,3,2,0,0,0,1,"Liberty, Duke",SAC
SG,HOU,4.5,0.0,-6.4,2015,1,2,1250.0,1,1,1,4,0,3,0,6,7,3,1,1,0,1,4,4,2,4,0,2,2,2,0,4,3,2,3,3,0,5,Virginia Commonwealth,CHO
SG,MIN,7.4,-0.1,-5.8,2015,1,29,625.0,1,1,1,4,0,3,0,6,7,3,1,1,0,1,4,4,2,4,0,2,2,2,0,4,3,2,0,3,0,5,Virginia Commonwealth,CHO
PF,LAL,20.0,6.3,1.5,2015,4,26,2600.0,1,0,2,0,0,1,1,2,0,0,5,0,1,3,3,2,2,0,0,1,1,3,2,2,1,1,0,0,3,8,UNC,POR
SG,MIL,12.3,4.1,0.6,2015,7,14,600.0,1,1,5,5,3,4,5,3,6,6,4,2,2,4,7,7,7,3,2,2,2,0,0,5,5,4,2,3,3,3,Boston College,WAS
SF,MIA,11.5,1.9,-1.5,2015,0,20,1175.0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,2,2,1,0,1,0,1,1,0,1,1,1,2,7,Cal State Long Beach,NOP
PG,PHO,12.0,0.0,-1.8,2015,0,16,910.0,1,4,1,0,1,2,3,1,2,1,1,2,2,2,1,1,0,6,0,0,1,3,2,0,4,2,4,1,0,1,Syracuse,MIL
SF,UTA,20.5,1.3,4.2,2015,4,19,850.0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,2,0,2,0,1,0,0,Western Kentucky,DAL
SG,DEN,11.0,1.0,-1.2,2015,8,23,855.0,0,1,1,0,0,0,0,3,3,1,1,0,1,0,3,1,1,2,3,1,0,2,0,2,2,3,2,1,1,1,Villanova,OKC
PG,PHI,5.9,-0.3,-6.9,2015,0,27,700.0,3,2,1,4,4,2,0,2,2,3,0,0,0,5,2,3,3,2,0,1,2,0,2,1,2,1,1,0,3,0,Penn State,NOP
PG,POR,13.7,0.2,-0.8,2015,0,7,940.0,3,2,1,4,4,2,0,2,2,3,0,0,0,0,2,3,3,2,0,1,2,0,2,1,2,1,1,0,3,0,Penn State,NOP
PG,NOP,9.8,0.2,-4.7,2015,3,12,650.0,2,1,2,4,3,1,3,2,4,2,3,2,0,1,7,1,2,1,3,2,2,2,1,3,2,1,1,2,0,2,BYU,NYK
SF,DEN,14.0,1.1,0.2,2015,5,23,855.0,0,0,2,0,1,0,2,0,1,0,0,1,1,2,1,1,0,3,1,2,0,1,0,0,3,1,2,1,2,3,Alabama,NOP
SF,POR,9.7,0.1,-3.2,2015,5,7,940.0,0,0,2,0,1,0,2,0,1,0,0,1,1,0,1,1,0,3,1,2,0,1,0,0,3,1,2,1,2,3,Alabama,NOP
PF,SAS,9.9,0.0,-4.2,2015,0,5,1000.0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1,6,Alabama,MEM
SF,BOS,14.6,2.0,-1.1,2015,6,15,1700.0,2,2,5,1,0,2,3,3,4,0,1,3,0,1,2,4,2,5,0,2,1,1,2,2,3,2,1,1,1,7,Georgetown,LAC
SF,MEM,14.2,3.1,0.6,2015,6,4,750.0,2,2,5,1,0,2,3,3,4,0,1,3,0,1,2,4,2,5,0,2,1,1,2,2,3,2,1,1,1,0,Georgetown,LAC
SF,LAC,8.3,0.1,-2.4,2015,3,3,1600.0,0,1,1,0,2,1,5,1,0,0,1,2,2,2,2,1,1,5,1,1,4,1,1,2,2,2,0,1,2,2,Texas,NOP
PF,TOR,13.3,3.4,-1.3,2015,5,10,920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNC,CHO
SF,ORL,8.4,0.3,-3.6,2015,2,25,875.0,0,2,1,1,3,1,2,2,2,1,0,2,1,4,1,0,1,1,0,0,2,3,0,1,3,2,2,0,0,0,St. John's,POR
SF,ORL,16.7,4.8,0.5,2015,3,25,875.0,3,2,2,1,4,1,2,0,5,1,0,1,2,2,2,3,3,3,0,0,2,3,0,2,2,3,1,3,1,5,Tennessee,DET
PF,LAC,9.8,1.2,-2.3,2015,7,3,1600.0,1,1,2,0,3,2,1,2,0,0,2,1,0,2,1,2,1,5,1,0,0,2,0,0,2,1,0,1,0,3,Washington,CHO
C,TOR,10.4,0.5,-1.0,2015,9,10,920.0,3,3,7,6,3,5,8,7,8,7,0,4,3,8,7,4,3,5,1,5,7,3,4,6,6,4,2,5,5,5,Kentucky,HOU
SG,CHO,13.2,3.6,-1.4,2015,13,21,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke,POR
C,IND,15.4,4.2,-1.2,2015,6,18,830.0,1,4,2,0,1,1,1,0,1,1,2,3,2,3,1,2,0,3,1,0,1,0,1,1,3,2,0,2,1,1,Georgetown,LAL
SG,GSW,12.1,1.3,-1.4,2015,1,0,1300.0,1,1,0,1,2,1,1,0,5,0,0,1,0,1,1,0,0,2,0,0,0,0,1,4,0,0,0,0,2,0,Washington,CHI
C,SAC,13.1,1.0,-2.3,2015,8,24,800.0,2,3,7,3,2,4,4,7,10,3,5,1,8,4,0,5,3,4,4,2,0,3,2,1,5,6,2,3,1,9,UCLA,MEM
PF,WAS,15.4,3.8,-1.0,2015,10,11,900.0,0,1,0,0,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Minnesota,ATL
PG,OKC,15.6,2.9,0.7,2015,3,13,930.0,3,2,0,1,1,0,1,2,2,1,0,2,1,1,1,2,3,0,0,1,0,1,1,3,2,7,1,1,0,0,Boston College,DET
PF,BRK,13.2,0.8,-3.0,2015,0,17,1500.0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0,0,1,1,0,0,0,Baylor,PHO
SG,ATL,15.9,0.9,0.3,2015,2,1,825.0,2,0,4,1,3,2,4,6,6,1,2,1,0,3,1,2,4,4,1,2,2,3,1,0,2,1,4,1,2,2,Vanderbilt,PHO
PF,DET,14.5,1.9,1.0,2015,4,22,810.0,0,2,8,1,8,0,1,2,2,0,3,1,1,2,3,1,2,7,9,0,1,2,0,3,2,0,1,1,1,3,0,BOS
PF,TOR,15.4,5.1,-0.1,2015,9,10,920.0,2,1,4,2,6,1,4,2,3,3,0,2,1,1,2,4,0,5,0,0,2,1,0,1,2,1,0,1,0,1,0,BOS
SG,BRK,14.1,4.1,-0.1,2015,13,17,1500.0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,Arkansas,MIA
SF,LAC,1.9,0.0,-8.3,2015,10,3,1600.0,2,0,2,0,1,1,0,3,0,3,2,0,0,1,1,1,1,1,0,3,0,1,0,2,8,1,0,1,0,2,"Rutgers University, Duke",CLE
PG,SAS,15.5,4.5,1.4,2015,3,5,1000.0,0,0,0,0,3,1,0,1,1,0,1,0,0,0,3,1,0,1,0,1,0,1,2,1,2,0,2,2,0,0,Texas,TOR
SG,MIN,10.0,0.1,-2.2,2015,0,29,625.0,1,2,5,1,1,2,3,1,2,0,0,3,1,2,1,1,2,4,4,1,3,3,1,2,0,1,0,1,4,4,Cincinnati,BRK
PG,MIL,18.5,4.4,2.5,2015,3,14,600.0,0,1,2,2,4,2,4,3,8,2,3,1,0,3,2,2,2,6,1,1,2,0,0,4,5,3,1,2,4,2,Kentucky,PHO
C,MEM,14.2,3.3,-1.2,2015,6,4,750.0,1,1,2,0,2,0,1,1,2,0,0,1,1,1,4,1,1,0,1,0,4,1,0,0,1,2,0,0,1,0,Ohio State,SAC
PG,NYK,10.9,1.7,-2.8,2015,1,28,2500.0,0,2,1,0,2,1,2,5,2,1,0,2,2,1,1,1,2,2,0,1,0,2,1,0,4,1,0,1,1,1,Miami (FL),BRK
PG,DEN,18.5,7.0,2.2,2015,5,23,855.0,1,1,2,0,0,1,3,2,5,0,3,2,0,1,1,2,2,3,0,0,0,1,1,0,3,1,1,1,0,1,UNC,IND
PF,GSW,17.8,3.2,0.9,2015,9,0,1300.0,0,1,0,1,3,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,Florida,DAL
PF,MEM,11.9,1.3,-2.8,2015,3,4,750.0,1,1,0,1,0,0,0,3,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,3,0,Wisconsin,PHO
PG,LAL,15.6,2.7,-0.4,2015,4,26,2600.0,0,0,2,0,1,0,4,4,2,1,1,1,1,2,1,0,1,1,1,0,1,0,0,3,1,0,2,4,0,0,Harvard University,CHO
C,POR,16.2,5.1,0.1,2015,6,7,940.0,3,1,0,1,0,0,0,2,2,1,1,1,1,0,2,1,2,1,0,2,1,1,1,1,2,0,1,1,1,1,Stanford,NYK
PG,ATL,13.2,1.3,-1.7,2015,3,1,825.0,1,1,3,2,2,2,2,2,4,2,3,2,2,1,3,3,5,2,5,0,2,0,2,0,4,2,0,2,2,2,Butler,UTA
PG,MIL,12.4,0.8,-0.8,2015,2,14,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNC,PHI
SG,POR,16.1,6.2,3.1,2015,5,7,940.0,0,1,1,1,2,2,0,3,2,1,1,1,1,0,1,0,1,3,0,0,1,0,0,1,1,0,0,1,2,1,Marquette,DAL
PF,PHI,10.6,1.1,-2.8,2015,6,27,700.0,0,1,5,2,0,1,5,6,6,3,2,0,2,1,1,2,0,4,0,0,1,1,1,2,4,1,1,1,2,4,UCLA,LAC
PG,SAC,12.5,1.4,-2.0,2015,1,24,800.0,1,2,1,1,3,2,1,0,4,1,1,2,1,2,0,1,2,5,2,1,1,0,3,1,2,3,3,0,6,3,Detroit Mercy,MEM
SG,PHI,10.8,0.6,-2.6,2015,0,27,700.0,5,5,7,6,3,8,9,10,8,9,9,0,6,7,7,7,4,6,7,5,7,7,5,6,8,6,4,6,5,7,Clemson,HOU
C,DEN,16.7,0.4,-1.2,2015,6,23,855.0,0,1,6,1,1,2,3,2,5,2,2,2,0,4,1,1,0,3,1,1,0,2,2,3,4,5,0,2,4,2,Nevada,DAL
C,PHI,6.8,-0.1,-7.7,2015,6,27,700.0,0,1,6,1,1,2,3,2,5,2,2,0,0,4,1,1,0,3,1,1,0,2,2,3,4,5,0,2,4,2,Nevada,DAL
C,CHI,8.7,0.1,-4.5,2015,16,8,2000.0,1,0,3,0,1,0,2,1,2,1,3,1,3,1,3,2,1,6,0,0,0,1,0,4,3,4,2,3,2,4,Kentucky,OKC
PF,DET,21.2,6.8,2.0,2015,4,22,810.0,1,0,0,0,3,1,3,2,5,2,2,3,0,0,1,2,1,3,0,2,2,4,2,1,4,0,0,1,0,4,Georgetown,MIL
PF,PHO,13.7,4.0,0.1,2015,3,16,910.0,2,3,1,1,3,0,4,3,4,3,2,1,1,1,3,4,0,5,1,1,1,2,1,2,4,4,3,1,2,0,Kansas,DET
PF,PHO,15.8,4.6,-0.3,2015,3,16,910.0,2,2,2,0,3,0,3,2,2,3,1,1,0,1,3,6,0,5,1,1,2,1,1,1,1,2,1,1,2,1,Kansas,WAS
PG,MIA,9.3,0.5,-3.2,2015,0,20,1175.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,3,0,0,1,0,1,0,0,UConn,ORL
PG,DAL,9.9,0.6,-1.4,2015,10,9,1150.0,2,0,5,2,4,3,6,0,6,4,4,2,1,3,4,4,1,3,1,0,6,1,5,2,5,2,2,2,3,4,Saint Joseph's,DEN
PG,BOS,8.7,0.0,-3.9,2015,10,15,1700.0,2,0,5,2,0,3,6,0,6,4,4,2,1,3,4,4,1,3,1,0,6,1,5,2,5,2,2,2,3,4,Saint Joseph's,DEN
SF,UTA,14.5,0.4,2.4,2015,8,19,850.0,3,2,1,3,1,1,4,5,4,1,5,0,1,5,3,5,3,5,0,1,1,5,3,1,6,1,2,1,1,1,Marquette,MIL
PF,OKC,1.3,-0.1,-7.2,2015,8,13,930.0,3,2,1,3,1,1,4,5,4,1,5,0,1,5,3,5,3,0,0,1,1,5,3,1,6,1,2,1,1,1,Marquette,MIL
PF,ORL,14.8,1.6,-0.3,2015,2,25,875.0,3,1,4,2,3,1,3,7,5,1,2,2,2,3,1,4,3,6,0,0,3,2,0,2,1,3,2,3,1,6,Norfolk State,NYK
C,MIL,15.6,4.2,0.4,2015,11,14,600.0,0,0,3,1,0,2,0,4,3,1,0,0,0,1,0,0,1,2,1,0,1,0,0,4,1,1,0,1,0,2,0,DAL
PF,ATL,2.9,0.0,-10.6,2015,0,1,825.0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,Michigan State,MIN
C,OKC,7.4,0.3,-4.6,2015,11,13,930.0,3,2,4,3,4,3,2,4,6,2,3,2,1,5,5,3,2,0,2,3,3,1,1,2,6,4,0,4,4,6,0,NOP
C,CLE,4.7,-0.2,-9.7,2015,11,6,915.0,3,2,4,3,4,3,2,4,6,2,3,2,1,5,5,3,2,0,2,3,3,1,1,2,0,4,0,4,4,6,0,NOP
SF,WAS,15.2,5.5,1.5,2015,16,11,900.0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,Kansas,LAC
C,BRK,18.0,4.8,0.1,2015,1,17,1500.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Duke,POR
PF,BOS,34.9,0.0,12.9,2015,0,15,1700.0,1,2,0,0,0,0,0,10,0,0,1,0,1,1,1,0,0,0,1,0,0,2,1,1,3,0,2,0,0,1,Stanford,DAL
PG,BOS,11.8,0.8,-1.2,2015,1,15,1700.0,1,4,0,1,0,0,1,1,3,1,0,2,1,2,1,2,3,4,0,0,1,1,4,1,1,0,0,1,0,2,Missouri,PHO
PG,NYK,12.7,1.2,0.1,2015,2,28,2500.0,0,1,0,0,0,0,2,3,4,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,2,0,2,0,0,1,0,LAC
PG,HOU,11.4,1.1,-0.2,2015,2,2,1250.0,0,1,0,0,0,0,0,3,4,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,2,0,2,0,0,1,0,LAC
SG,NOP,10.1,0.7,-3.0,2015,2,12,650.0,1,2,1,0,4,2,1,3,4,1,0,0,0,0,2,2,1,4,0,0,1,0,1,0,4,2,1,1,0,2,Duke,LAC
PG,DEN,10.6,0.2,-3.1,2015,9,23,855.0,2,0,6,4,1,0,4,2,5,3,3,1,2,3,1,3,2,4,0,1,0,1,1,2,3,1,0,0,1,2,Washington,NOP
PG,LAC,10.4,0.0,-2.7,2015,9,3,1600.0,2,0,6,4,1,0,4,2,0,3,3,1,2,3,1,3,2,4,0,1,0,1,1,2,3,1,0,0,1,2,Washington,NOP
PF,POR,11.0,0.5,-3.3,2015,2,7,940.0,3,1,5,0,5,2,2,2,2,3,1,1,0,0,3,2,3,5,1,1,2,3,1,1,0,3,1,2,3,1,Kansas,BRK
PF,PHI,19.3,1.0,-0.7,2015,2,27,700.0,3,1,5,0,5,2,2,2,2,3,1,0,0,0,3,2,3,5,1,1,2,3,1,1,0,3,1,2,3,1,Kansas,BRK
PG,BOS,15.4,0.9,0.4,2015,8,15,1700.0,0,0,0,1,0,0,1,0,5,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,Kentucky,SAC
PG,DAL,12.4,0.6,-1.5,2015,8,9,1150.0,0,0,0,1,0,0,1,0,5,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,Kentucky,SAC
SF,PHI,9.4,0.6,-4.2,2015,0,27,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,St. John's,DEN
PF,IND,16.8,4.4,-0.3,2015,7,18,830.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR
PG,SAC,8.1,-0.3,-5.1,2015,7,24,800.0,1,0,0,1,0,0,2,0,2,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Nevada,WAS
SG,NYK,11.9,0.3,-2.0,2015,3,28,2500.0,0,2,1,2,3,2,1,2,4,1,2,1,0,1,1,2,2,3,2,0,2,3,1,1,5,2,0,3,0,2,Georgia Tech,CLE
C,PHI,14.5,2.1,-2.8,2015,2,27,700.0,1,1,1,0,0,0,3,1,2,1,0,0,0,1,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,1,Georgetown,BRK
SF,DET,9.4,1.6,-1.7,2015,2,22,810.0,0,1,0,0,2,1,1,1,3,0,0,0,0,0,0,0,2,10,0,0,0,2,0,0,3,0,0,0,1,1,Duke,OKC
PG,IND,13.1,2.0,-0.1,2015,3,18,830.0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,Texas A&M,BRK
PF,DAL,10.2,0.8,-2.6,2015,3,9,1150.0,2,2,4,3,3,1,5,0,7,3,5,2,0,5,4,2,3,2,2,2,2,0,2,0,5,2,5,4,2,1,Fresno State,MIN
SG,NYK,11.5,-0.1,-2.8,2015,10,28,2500.0,0,2,2,3,3,2,6,3,7,2,4,2,1,2,5,4,3,4,0,2,4,4,0,1,8,3,2,2,1,6,0,CLE
C,NYK,12.0,1.2,-3.8,2015,6,28,2500.0,0,1,1,0,0,1,3,2,3,0,2,0,1,3,0,4,1,2,1,1,0,0,7,1,2,0,0,0,7,0,Colorado State,ORL
C,SAS,18.9,4.0,2.3,2015,4,5,1000.0,2,5,5,2,3,2,4,3,6,6,2,0,0,5,3,2,2,3,4,4,5,4,5,7,4,4,2,1,2,5,0,ATL
SG,SAC,7.5,0.5,-3.3,2015,0,24,800.0,0,0,3,1,2,2,1,1,5,3,1,3,1,1,0,0,0,3,1,0,1,1,3,0,3,0,4,1,1,1,Michigan,PHI
SG,CHO,8.8,-0.9,-4.5,2015,4,21,725.0,2,0,2,0,0,1,0,0,4,2,1,0,0,0,2,2,1,2,0,4,0,0,1,1,4,0,1,0,2,0,Cincinnati,MEM
PF,MEM,18.6,0.5,-1.1,2015,0,4,750.0,1,0,1,2,0,1,0,0,1,3,1,1,1,0,1,0,1,1,0,0,4,0,3,0,0,1,2,0,2,0,Tennessee,MIA
PF,NYK,19.5,2.2,-0.6,2015,12,28,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA
PF,DAL,22.3,1.4,1.9,2015,12,9,1150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA
PG,PHO,19.7,4.0,2.5,2015,3,16,910.0,4,2,5,4,6,1,6,4,9,2,5,2,2,5,10,4,0,7,2,2,2,3,3,5,5,6,1,2,6,4,Washington,BOS
SF,OKC,6.6,0.0,-4.7,2015,3,13,930.0,2,1,2,4,3,3,2,3,2,3,0,1,2,4,1,1,0,0,0,0,0,0,4,0,5,1,1,0,1,2,Duke,NYK
PF,SAC,10.2,2.4,-2.8,2015,6,24,800.0,3,0,10,2,1,0,0,1,2,2,6,2,1,0,0,0,0,3,0,0,3,1,0,1,2,1,0,2,2,1,Rider University,TOR
SG,BOS,15.8,1.4,2.0,2015,5,15,1700.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,LSU,WAS
SG,PHO,8.3,-0.1,-4.9,2015,5,16,910.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,LSU,WAS
PF,PHO,7.8,0.2,-2.5,2015,6,16,910.0,1,2,1,2,3,1,2,0,2,3,3,0,3,4,2,1,0,5,2,1,1,3,1,8,3,8,2,2,1,2,Creighton,DET
PG,MEM,15.4,3.6,0.5,2015,10,4,750.0,2,1,4,4,1,1,1,4,6,6,2,1,6,2,4,2,3,2,2,1,2,4,4,0,5,4,1,1,2,0,0,MIA
SG,CLE,12.2,0.5,-2.6,2015,2,6,915.0,1,2,2,0,4,1,3,2,5,2,3,1,2,1,4,3,5,3,0,1,1,0,2,0,0,2,2,1,1,0,Syracuse,OKC
PG,BRK,15.7,3.6,0.2,2015,9,17,1500.0,1,0,0,0,0,0,4,2,4,1,0,0,1,1,2,2,0,3,0,2,0,1,0,2,4,0,1,1,1,0,Illinois,DAL
